Tabel 1 Nitrogenase activity collected from literature,,,,,
Species,Original activity,Original unit,Transformed activity,Transformed unit,Literature
Kosakonia oryzae,10.285 ± 0.422,nmoL C2H4 mg Protein h−1,10.285,nmol/mg/h,"Singh, R. K., Singh, P., Sharma, A., Guo, D. J., Upadhyay, S. K., Song, Q. Q., ... & Li, Y. R. (2022). Unraveling nitrogen fixing potential of endophytic diazotrophs of different Saccharum species for sustainable sugarcane growth. International Journal of Molecular Sciences, 23(11), 6242."
Kosakonia oryzendophytica BDA137-1,0.032 ± 0.004,nmol Ethylene/mg Cells/min,1.92,nmol/mg/h,"Bianco, C., Andreozzi, A., Romano, S., Fagorzi, C., Cangioli, L., Prieto, P., ... & Defez, R. (2021). Endophytes from african rice (Oryza glaberrima L.) efficiently colonize asian rice (Oryza sativa L.) stimulating the activity of its antioxidant enzymes and increasing the content of nitrogen, carbon, and chlorophyll. Microorganisms, 9(8), 1714."
Kosakonia oryziphila,9.46 ± 0.14,n moL C2H4 mg protein h− 1,9.46,nmol/mg/h,"Singh, R. K., Singh, P., Guo, D. J., Sharma, A., Li, D. P., Li, X., ... & Li, Y. R. (2021). Root-derived endophytic diazotrophic bacteria Pantoea cypripedii AF1 and Kosakonia arachidis EF1 promote nitrogen assimilation and growth in sugarcane. Frontiers in microbiology, 12, 774707."
Kosakonia pseudosacchari,6.95 ± 0.1,n moL C2H4 mg protein h− 1,6.95,nmol/mg/h,"Singh, R. K., Singh, P., Guo, D. J., Sharma, A., Li, D. P., Li, X., ... & Li, Y. R. (2021). Root-derived endophytic diazotrophic bacteria Pantoea cypripedii AF1 and Kosakonia arachidis EF1 promote nitrogen assimilation and growth in sugarcane. Frontiers in microbiology, 12, 774707."
Kosakonia pseudosacchari BDA62-3,0.049 ± 0.008,nmol Ethylene/mg Cells/min,2.94,nmol/mg/h,"Bianco, C., Andreozzi, A., Romano, S., Fagorzi, C., Cangioli, L., Prieto, P., ... & Defez, R. (2021). Endophytes from african rice (Oryza glaberrima L.) efficiently colonize asian rice (Oryza sativa L.) stimulating the activity of its antioxidant enzymes and increasing the content of nitrogen, carbon, and chlorophyll. Microorganisms, 9(8), 1714."
Kosakonia quasisacchari,17.39 ± 0.26,n moL C2H4 mg protein h− 1,17.39,nmol/mg/h,"Singh, R. K., Singh, P., Guo, D. J., Sharma, A., Li, D. P., Li, X., ... & Li, Y. R. (2021). Root-derived endophytic diazotrophic bacteria Pantoea cypripedii AF1 and Kosakonia arachidis EF1 promote nitrogen assimilation and growth in sugarcane. Frontiers in microbiology, 12, 774707."
Kosakonia radicincitans,42.1,μmol/vial.h,42100,nmol/tube/h,"Bergottini, V. M., Otegui, M. B., Sosa, D. A., Zapata, P. D., Mulot, M., Rebord, M., ... & Junier, P. (2015). Bio-inoculation of yerba mate seedlings (Ilex paraguariensis St. Hill.) with native plant growth-promoting rhizobacteria: a sustainable alternative to improve crop yield. Biology and Fertility of Soils, 51, 749-755."
Kosakonia radicincitans,42.5,μmol/vial.h,42500,nmol/tube/h,"Bergottini, V. M., Otegui, M. B., Sosa, D. A., Zapata, P. D., Mulot, M., Rebord, M., ... & Junier, P. (2015). Bio-inoculation of yerba mate seedlings (Ilex paraguariensis St. Hill.) with native plant growth-promoting rhizobacteria: a sustainable alternative to improve crop yield. Biology and Fertility of Soils, 51, 749-755."
Kosakonia radicincitans,1,nmol ethylene ml−1 h−1,1,nmol/mL/h,"Thu, N. T. H., Son, T. C., Trang, D. T., Le, N. T. M., Toi, N. D., Van, N. T., & Hang, D. T. (2022). Indigenous diazotrophs and their effective properties for organic agriculture. Vietnam Journal of Biotechnology, 20(4), 751-760."
Kosakonia radicincitans,24.64,nmol C2H4 mg protein h−1,24.64,nmol/mg/h,"Singh, R. K., Singh, P., Li, H. B., Guo, D. J., Song, Q. Q., Yang, L. T., ... & Li, Y. R. (2020). Plant-PGPR interaction study of plant growth-promoting diazotrophs Kosakonia radicincitans BA1 and Stenotrophomonas maltophilia COA2 to enhance growth and stress-related gene expression in Saccharum spp. Journal of Plant Interactions, 15(1), 427-445."
Kosakonia radicincitans,10.5 ± 0.16,n moL C2H4 mg protein h− 1,10.5,nmol/mg/h,"Singh, R. K., Singh, P., Guo, D. J., Sharma, A., Li, D. P., Li, X., ... & Li, Y. R. (2021). Root-derived endophytic diazotrophic bacteria Pantoea cypripedii AF1 and Kosakonia arachidis EF1 promote nitrogen assimilation and growth in sugarcane. Frontiers in microbiology, 12, 774707."
Kosakonia radicincitans GXGL-4A,232.94,nmol/mL/h,232.94,nmol/mL/h,"Zhang, X., Tong, J., Dong, M., Akhtar, K., & He, B. (2022). Isolation, identification and characterization of nitrogen fixing endophytic bacteria and their effects on cassava production. PeerJ, 10, e12677."
Kosakonia sacchari,16.12 ± 1.74,n moL C2H4 mg protein h− 1,16.12,nmol/mg/h,"Singh, P., Singh, R. K., Li, H. B., Guo, D. J., Sharma, A., Lakshmanan, P., ... & Li, Y. R. (2021). Diazotrophic bacteria Pantoea dispersa and Enterobacter asburiae promote sugarcane growth by inducing nitrogen uptake and defense-related gene expression. Frontiers in microbiology, 11, 600417."
Kosakonia sacchari BDA86-11,0.064 ± 0.008,nmol Ethylene/mg Cells/min,3.84,nmol/mg/h,"Bianco, C., Andreozzi, A., Romano, S., Fagorzi, C., Cangioli, L., Prieto, P., ... & Defez, R. (2021). Endophytes from african rice (Oryza glaberrima L.) efficiently colonize asian rice (Oryza sativa L.) stimulating the activity of its antioxidant enzymes and increasing the content of nitrogen, carbon, and chlorophyll. Microorganisms, 9(8), 1714."
Lactococcus lactis LC21551,21.7 ± 1.1,nanomoles of ethylene produced mg−1 protein hr−1,21.7,nmol/mg/h,"Marag, P. S., & Suman, A. (2018). Growth stage and tissue specific colonization of endophytic bacteria having plant growth promoting traits in hybrid and composite maize (Zea mays L.). Microbiological Research, 214, 101-113."
Lelliottia nimipressuralis,24.158 ± 0.438,nmoL C2H4 mg Protein h−1,24.158,nmol/mg/h,"Singh, R. K., Singh, P., Sharma, A., Guo, D. J., Upadhyay, S. K., Song, Q. Q., ... & Li, Y. R. (2022). Unraveling nitrogen fixing potential of endophytic diazotrophs of different Saccharum species for sustainable sugarcane growth. International Journal of Molecular Sciences, 23(11), 6242."
Leptodesmis sp. A121,1666.7,nmoL C2H4 g Protein h−1,1.6667,nmol/mg/h,"Tang, J., Du, L. M., Li, M., Yao, D., Jiang, Y., Waleron, M., ... & Daroch, M. (2022). Characterization of a novel hot-spring cyanobacterium Leptodesmis sichuanensis sp. nov. and genomic insights of molecular adaptations into its habitat. Frontiers in Microbiology, 12, 739625."
Leptolyngbya nodulosa,50,(nmol/h C2H4 per mg CHI fresh biomass,0.05,nmoles/μg Chl a/h,"Li, Z., Yu, J., Kim, K. R., & Brand, J. (2010). Nitrogen fixation by a marine non‐heterocystous cyanobacterium requires a heterotrophic bacterial consort. Environmental microbiology, 12(5), 1185-1193."
Leptospirillum ferrooxidans BCT2,58,µmol (g cell carbon gcc)−1 h−1,58,nmol/mg/h,"Sato, Y., Hosokawa, K., Fujimura, R., Nishizawa, T., Kamijo, T., & Ohta, H. (2009). Nitrogenase activity (acetylene reduction) of an iron-oxidizing Leptospirillum strain cultured as a pioneer microbe from a recent volcanic deposit on Miyake-jima, Japan. Microbes and environments, 24(4), 291-296."
Leptospirillum ferrooxidans DSM2705,600,µmol (g cell carbon gcc)−1 h−1,600,nmol/mg/h,"Sato, Y., Hosokawa, K., Fujimura, R., Nishizawa, T., Kamijo, T., & Ohta, H. (2009). Nitrogenase activity (acetylene reduction) of an iron-oxidizing Leptospirillum strain cultured as a pioneer microbe from a recent volcanic deposit on Miyake-jima, Japan. Microbes and environments, 24(4), 291-296."
Lyngbya sp.,9,μmol C2H4 m−2 h−1,9,μmol C2H4 m−2 h−1,"Omoregie, E. O., Crumbliss, L. L., Bebout, B. M., & Zehr, J. P. (2004). Comparison of diazotroph community structure in Lyngbya sp. and Microcoleus chthonoplastes dominated microbial mats from Guerrero Negro, Baja, Mexico. FEMS microbiology ecology, 47(3), 305-318."
Lysinibacillus fusiformis,160.31,nmol C2H4 released h−1 mg−1 protein.,160.31,nmol/mg/h,"Park, M., Kim, C., Yang, J., Lee, H., Shin, W., Kim, S., & Sa, T. (2005). Isolation and characterization of diazotrophic growth promoting bacteria from rhizosphere of agricultural crops of Korea. Microbiological Research, 160(2), 127-133."
Lysinibacillus fusiformis,3677.81,nmol C2H4 released h−1 mg−1 protein.,3677.81,nmol/mg/h,"Park, M., Kim, C., Yang, J., Lee, H., Shin, W., Kim, S., & Sa, T. (2005). Isolation and characterization of diazotrophic growth promoting bacteria from rhizosphere of agricultural crops of Korea. Microbiological Research, 160(2), 127-133."
Lysinibacillus fusiformis AY548950,18 ± 2.1,nmol C2H2/ h/vial,18,nmol/tube/h,"Yasmin, S., Hafeez, F. Y., Schmid, M., & Hartmann, A. (2013). Plant-beneficial rhizobacteria for sustainable increased yield of cotton with reduced level of chemical fertilizers. Pak. J. Bot, 45(2), 655-662."
Lysinibacillus fusiformis AY548954,235.3 ± 5.3,nmol C2H2/ h/vial,235.3,nmol/tube/h,"Yasmin, S., Hafeez, F. Y., Schmid, M., & Hartmann, A. (2013). Plant-beneficial rhizobacteria for sustainable increased yield of cotton with reduced level of chemical fertilizers. Pak. J. Bot, 45(2), 655-662."
Lysinibacillus fusiformis AY548956,67.1 ± 3.7 ,nmol C2H2/ h/vial,67.1,nmol/tube/h,"Yasmin, S., Hafeez, F. Y., Schmid, M., & Hartmann, A. (2013). Plant-beneficial rhizobacteria for sustainable increased yield of cotton with reduced level of chemical fertilizers. Pak. J. Bot, 45(2), 655-662."
Lysinibacillus fusiformis WH22 (AJ310083),337.39, nmol C2H4 mg protein-1 h-1,337.39,nmol/mg/h,"Arvind, G., Sood, S., Rahi, P., Thakur, R., Chauhan, S., & Nee Chadha, I. C. (2011). Diversity analysis of diazotrophic bacteria associated with the roots of tea (Camellia sinensis (L.) O. Kuntze). Journal of microbiology and biotechnology, 21(6), 545-555."
Lysinibacillus macroides,104.5,nmol C2H2·mL−1·h−1,104.5,nmol/mL/h,"Liu, T., Zhai, C., Zhang, J., & Coulter, J. A. (2021). Genetic diversity and promotion plant growth of culturable endophytic diazotrophs associated with seashore paspalum cultivars. New Zealand Journal of Crop and Horticultural Science, 49(2-3), 243-257."
Lysinibacillus macroides,13.891 ± 0.252,nmoL C2H4 mg Protein h−1,13.891,nmol/mg/h,"Singh, R. K., Singh, P., Sharma, A., Guo, D. J., Upadhyay, S. K., Song, Q. Q., ... & Li, Y. R. (2022). Unraveling nitrogen fixing potential of endophytic diazotrophs of different Saccharum species for sustainable sugarcane growth. International Journal of Molecular Sciences, 23(11), 6242."
Lysinibacillus sphaericus,52.93 ± 2.51,n moles C2H4 produced culture −1 h−1,52.93,nmol/tube/h,"Shabanamol, S., Divya, K., George, T. K., Rishad, K. S., Sreekumar, T. S., & Jisha, M. S. (2018). Characterization and in planta nitrogen fixation of plant growth promoting endophytic diazotrophic Lysinibacillus sphaericus isolated from rice (Oryza sativa). Physiological and Molecular Plant Pathology, 102, 46-54."
Lysinibacillus sphaericus,5.2 ± 0.06,nmol ethylene h−1 mg protein−1,5.2 ,nmol/mg/h,"Islam, R., Trivedi, P., Madhaiyan, M., Seshadri, S., Lee, G., Yang, J., ... & Sa, T. (2010). Isolation, enumeration, and characterization of diazotrophic bacteria from paddy soil sample under long-term fertilizer management experiment. Biology and fertility of soils, 46, 261-269."
Lysinibacillus xylanilyticus CCUG57438 (FJ477040),49.83, nmol C2H4 mg protein-1 h-1,49.83,nmol/mg/h,"Arvind, G., Sood, S., Rahi, P., Thakur, R., Chauhan, S., & Nee Chadha, I. C. (2011). Diversity analysis of diazotrophic bacteria associated with the roots of tea (Camellia sinensis (L.) O. Kuntze). Journal of microbiology and biotechnology, 21(6), 545-555."
Lysobacter enzymogenes 12/5,0.28 ± 0.07,"nmol C2H4, 107 cfu h–1",0.028,nmol/h/10*6cells,"Çakmakçı, R. (2016). Screening of multi-trait rhizobacteria for improving the growth, enzyme activities, and nutrient uptake of tea (Camellia sinensis). Communications in Soil Science and Plant Analysis, 47(13-14), 1680-1690."
Magnetospirillum gryphiswaldense,14.4+/-7.2,nmol C2H4 produced min(-1) mg(-1) cell protein,864,nmol/mg/h,"Bazylinski, D. A., Dean, A. J., Schüler, D., Phillips, E. J., & Lovley, D. R. (2000). N2‐dependent growth and nitrogenase activity in the metal‐metabolizing bacteria, Geobacter and Magnetospirillum species. Environmental microbiology, 2(3), 266-273."
Massilia glaciei,0,C2H4 nmol/mL·h,0,nmol/mL/h,"Lan, X., Zhou, H., Yao, T., Dong, W., Zhang, J., & Han, D. (2020). Community structure and function of cultivable endophytic bacteria isolated from four moss species in Qilian Mountain. Symbiosis, 80, 257-267."
Massilia glaciei,0,C2H4 nmol/mL·h,0,nmol/mL/h,"Lan, X., Zhou, H., Yao, T., Dong, W., Zhang, J., & Han, D. (2020). Community structure and function of cultivable endophytic bacteria isolated from four moss species in Qilian Mountain. Symbiosis, 80, 257-267."
Massilia glaciei,0,C2H4 nmol/mL·h,0,nmol/mL/h,"Lan, X., Zhou, H., Yao, T., Dong, W., Zhang, J., & Han, D. (2020). Community structure and function of cultivable endophytic bacteria isolated from four moss species in Qilian Mountain. Symbiosis, 80, 257-267."
Mastigocladus (Stigonematales),600, nmol C2H4 cm(-2) per day,600, nmol C2H4 cm(-2) per day,"Estrella Alcamán, M., Fernandez, C., Delgado, A., Bergman, B., & Díez, B. (2015). The cyanobacterium Mastigocladus fulfills the nitrogen demand of a terrestrial hot spring microbial mat. The ISME Journal, 9(10), 2290-2303."
Mastigocladus laminosus,5.18,u moles/mg Chl a/min,310.8,nmoles/μg Chl a/h,"Minj, R. A., Singh, P., Kunui, K., & Singh, S. S. (2017). Diversity and phylogenetic analysis of heterocystous cyanobacteria using morphological, nitrogen fixation and molecular attributes."
Mesobacillus subterraneus GHM58,0.7,μmol C2H4/mg protein/hour,700,nmol/mg/h,"Quadriya, H., Rajendran, G., Mir, M. I., Manasa, M., Mangrauthia, S. K., Kuchi, S., & Bee, H. (2022). Bioprospecting native endophytic and epiphytic diazotrophs of Oryza sativa (L) for plant growth promotion and biocontrol."
Mesorhizobium albiziae LMG23507 (DQ311088),74.4, nmol C2H4 mg protein-1 h-1,74.4,nmol/mg/h,"Arvind, G., Sood, S., Rahi, P., Thakur, R., Chauhan, S., & Nee Chadha, I. C. (2011). Diversity analysis of diazotrophic bacteria associated with the roots of tea (Camellia sinensis (L.) O. Kuntze). Journal of microbiology and biotechnology, 21(6), 545-555."
Mesorhizobium ciceri,136.666to303.666,nmolesC2H2reduced/h/mgprotei,220.166,nmol/mg/h,"Zafar, M. (2017). Molecular and biochemical characterization of rhizobia from chickpea (Cicer arietinum). The Pakistan Journal of Agricultural Sciences, 54(02), 373-381."
Mesorhizobium ciceri 1 (A13),3.17a ± 0.04,μmol C2H4/g dry wt. nodules/h,3170,nmol/g nodule/h,"Das, K., Rajawat, M. V. S., Saxena, A. K., & Prasanna, R. (2017). Development of Mesorhizobium ciceri-based biofilms and analyses of their antifungal and plant growth promoting activity in chickpea challenged by Fusarium wilt. Indian journal of microbiology, 57, 48-59."
Mesorhizobium ciceri CC1192,13.4 ± 2.9,nmol acetylene reduced/mg nodule/h,13.4,nmol/g nodule/h,"Hill, Y., Colombi, E., Bonello, E., Haskett, T., Ramsay, J., O’Hara, G., & Terpolilli, J. (2021). Evolution of diverse effective N2-fixing microsymbionts of Cicer arietinum following horizontal transfer of the Mesorhizobium ciceri CC1192 symbiosis integrative and conjugative element. Applied and Environmental Microbiology, 87(5), e02558-20."
Mesorhizobium ciceri 2 (CR24),2.10c ± 0.01,μmol C2H4/g dry wt. nodules/h,2100,nmol/g nodule/h,"Das, K., Rajawat, M. V. S., Saxena, A. K., & Prasanna, R. (2017). Development of Mesorhizobium ciceri-based biofilms and analyses of their antifungal and plant growth promoting activity in chickpea challenged by Fusarium wilt. Indian journal of microbiology, 57, 48-59."
Mesorhizobium huakuii KFR647,2.87 ± 1.23,μmol C2H4 per plant h−1,2870,nmol/plant/h,"Cummings, S. P., Gyaneshwar, P., Vinuesa, P., Farruggia, F. T., Andrews, M., Humphry, D., ... & James, E. K. (2009). Nodulation of Sesbania species by Rhizobium (Agrobacterium) strain IRBG74 and other rhizobia. Environmental Microbiology, 11(10), 2510-2525."
Mesorhizobium loti U261,2.4,umol C2H4 g protein h−1,2.4,nmol/mg/h,"Sotelo, M., Ureta, A. C., Muñoz, S., Sanjuán, J., Monza, J., & Palacios, J. (2021). Introduction of H2-Uptake Hydrogenase Genes Into Rhizobial Strains Improves Symbiotic Nitrogen Fixation in Vicia sativa and Lotus corniculatus Forage Legumes. Frontiers in Agronomy, 3, 661534."
Mesorhizobium mediterraneum,204.000±9.219,nmolesC2H2reduced/h/mgprotei,204,nmol/mg/h,"Zafar, M. (2017). Molecular and biochemical characterization of rhizobia from chickpea (Cicer arietinum). The Pakistan Journal of Agricultural Sciences, 54(02), 373-381."
Mesorhizobium plurifarium WUR2,0.84 ± 0.75/,µmol C 2 H4/h/g fw,840,nmol/g nodule/h,"Op den Camp, R. H., Polone, E., Fedorova, E., Roelofsen, W., Squartini, A., Op den Camp, H. J., ... & Geurts, R. (2012). Nonlegume Parasponia andersonii deploys a broad rhizobium host range strategy resulting in largely variable symbiotic effectiveness. Molecular plant-microbe interactions, 25(7), 954-963."
Mesorhizobium septentrionale EU513300.1,1430,mmol C2H4. h-1. g-1,1430,nmol/g nodule/h,"Sujkowska-Rybkowska, M., Kasowska, D., Gediga, K., Banasiewicz, J., & Stępkowski, T. (2020). Lotus corniculatus-rhizobia symbiosis under Ni, Co and Cr stress on ultramafic soil. Plant and Soil, 451, 459-484."
Mesorhizobium septentrionale FM164387.1,1500,mmol C2H4. h-1. g-1,1500,nmol/g nodule/h,"Sujkowska-Rybkowska, M., Kasowska, D., Gediga, K., Banasiewicz, J., & Stępkowski, T. (2020). Lotus corniculatus-rhizobia symbiosis under Ni, Co and Cr stress on ultramafic soil. Plant and Soil, 451, 459-484."
